科目,每股净资产(元/股),期末现金及现金等价物余额(元),投资支付的现金(元),构建固定资产、无形资产和其他长期资产支付的现金(元),取得借款收到的现金(元),吸收投资收到的现金(元),销售商品、提供劳务收到的现金(元),资产负债率(%),每股收益-基本(元/股),每股收益-稀释(元/股),销售毛利率(%),筹资活动产生的现金流量净额(元),投资活动产生的现金流量净额(元),经营活动产生的现金流量净额(元),现金及现金等价物净增加额(元),扣除非经常性损益后净利润(元),净利润（不含少数股东损益）(元),销售净利率(%),营业利润(元),研发费用(元),ROE-扣非(),ROE-摊薄(),资产总计(元),负债合计(元),营业总成本(元),营业总收入(元),利润总额(元),股东权益合计（不含少数股东权益）(元),以摊余成本计量的金融资产终止确认收益(元),资产处置收益(元),提取保险责任准备金(元),持续经营净利润(元),信用减值损失(元),保户红利支出(元),终止经营净利润(元),减：利息收入(元),手续费及佣金收入(元),其中：减：非流动资产处置净损失(元),所得税(元),其中：对联营企业和合营企业的投资收益(元),已赚保费(元),利息收入(元),财务费用(元),管理费用(元),减：手续费及佣金支出(元),资产减值损失(元),减：利息支出(元),减：营业外支出(元),减：营业成本(元),销售费用(元),减：营业税金及附加(元),少数股东损益(元),净敞口套期收益(元),扣除非经常性损益后净利润(元),净利润（不含少数股东损益）(元),净利润（含少数股东损益）(元),国际会计准则净利润(元),营业利润(元),营业收入(元),其他业务成本(元),加：其他综合收益(元),其他收益(元),加：公允价值变动净收益(元),加：汇兑净收益(元),加：投资净收益(元),加：营业外收入(元),退保金(元),研发费用(元),分保费用(元),其中：利息费用(元),赔付总支出(元),综合收益总额(元),归属于少数股东的综合收益总额(元),归属于母公司普通股东综合收益总额(元),营业总成本(元),营业总收入(元),利润总额(元),未确认投资损失(元),预提费用(元),应付账款(元),应收账款(元),代理买卖证券款(元),代理承销证券款(元),预收款项(元),应付债券(元),向中央银行借款(元),资本公积(元),股本(元),外币报表折算差额(元),在建工程(元),在建工程合计(元),消耗性生物资产(元),合同资产(元),合同负债(元),债权投资(元),待摊费用(元),递延收益(元),递延收益-非流动负债(元),递延所得税资产(元),递延所得税负债(元),吸收存款及同业存放(元),衍生金融资产(元),衍生金融负债(元),应付股利(元),应收股利(元),应付职工薪酬(元),以摊余成本计量的金融资产(元),以公允价值计量且变动计入其他综合收益的金融资产(元),可供出售的金融资产(元),固定资产(元),固定资产清理(元),固定资产合计(元),卖出回购金融资产款(元),商誉(元),应付手续费及佣金(元),持有至到期投资(元),持有待售的资产(元),持有待售负债(元),应付利息(元),应收利息(元),无形资产(元),存货(元),投资性房地产(元),减：库存股(元),发放贷款及垫款(元),拆入资金(元),拆出资金(元),长期待摊费用(元),长期股权投资(元),长期应收款(元),长期借款(元),长期应付款(元),长期应付款合计(元),长期应付职工薪酬(元),少数股东权益(元),货币资金(元),一年内到期非流动资产(元),一年内到期的非流动负债(元),应付票据(元),应收票据(元),油气资源(元),其他流动资产(元),其他流动负债(元),其他债权投资(元),其他权益工具(元),优先股(元),其他金融类流动资产(元),其他金融类流动负债(元),其他非流动金融资产(元),其他非流动资产(元),其他非流动负债(元),其他应付款(元),其他应付款合计(元),其他应收款(元),其他应收款合计(元),永续债(元),其他综合收益(元),应付分保账款(元),应付票据及应付账款(元),预付款项(元),应收保费(元),生产性生物资源(元),工程物资(元),一般风险准备(元),预计负债(元),应收分保合同准备金(元),应收分保账款(元),开发支出(元),应收票据及应收账款(元),应收款项融资(元),买入返售金融资产(元),使用权资产(元),保险合同准备金(元),结算备付金(元),专项储备(元),专项应付款(元),应付短期债券(元),短期借款(元),盈余公积金(元),应交税费(元),资产总计(元),流动资产合计(元),流动负债合计(元),负债合计(元),负债及股东权益合计(元),非流动资产合计(元),非流动负债合计(元),股东权益合计（不含少数股东权益）(元),股东权益合计（含少数股东权益)(元),交易性金融资产(元),交易性金融负债(元),未确认的投资损失(元),未分配利润(元),期初现金及现金等价物余额(元),期末现金及现金等价物余额(元),投资支付的现金(元),构建固定资产、无形资产和其他长期资产支付的现金(元),支付给职工以及为职工支付的现金(元),支付原保险合同赔付款项的现金(元),分配股利、利润或偿付利息支付的现金(元),购买商品、接受劳务支付的现金(元),偿还债务支付的现金(元),取得借款收到的现金(元),吸收投资收到的现金(元),收回投资收到的现金(元),收到原保险合同保费取得的现金(元),取得投资收益收到的现金(元),销售商品、提供劳务收到的现金(元),支付保单红利的现金(元),汇率变动对现金的影响(元),经营活动现金流入(金融类)(元),经营活动现金流出(金融类)(元),企业自由现金流(FCFF)(元),支付手续费的现金(元),其中：子公司吸收少数股东投资收到的现金(元),其中：子公司支付给少数股东的股利、利润(元),筹资活动产生的现金流量净额(元),投资活动产生的现金流量净额(元),经营活动产生的现金流量净额(元),取得子公司及其他营业单位支付的现金净额(元),收到再保业务现金净额(元),处置固定资产、无形资产和其他长期资产收回的现金净额(元),处置子公司及其他营业单位收到的现金净额(元),现金及现金等价物净增加额(元),客户贷款及垫款净增加额(元),存放央行和同业款项净增加额(元),客户存款和同业存放款项净增加额(元),处置交易性金融资产净增加额(元),向其他金融机构拆入资金净增加额(元),保户储金净增加额(元),收取利息和手续费净增加额(元),向中央银行借款净增加额(元),拆入资金净增加额(元),回购业务资金净增加额(元),支付其他与筹资活动有关的现金(元),支付其他与投资活动有关的现金(元),支付其他与经营活动有关的现金(元),收到其他与筹资活动有关的现金(元),收到其他与投资活动有关的现金(元),收到其他与经营活动有关的现金(元),支付的各项税费(元),发行债券收到的现金(元),收到的税费返还(元),筹资活动现金流入小计(元),投资活动现金流入小计(元),经营活动现金流入小计(元),筹资活动现金流出小计(元),投资活动现金流出小计(元),经营活动现金流出小计(元)
20211231_单季同比,,29.80%,-208.28%,76.58%,195.79%,59.87%,113.98%,,,,,120.17%,454.95%,85.88%,29.80%,-15.40%,10.27%,,7.01%,,,,-100.00%,-100.00%,,118.79%,6.14%,-100.00%,,-48.14%,,-87.23%,,,,-4.46%,,,45.06%,-99.25%,,,-34.02%,34.39%,,,,-10.44%,29.38%,200.43%,27.39%,256.68%,,-115.40%,-89.73%,-87.23%,,-92.99%,18.79%,,-76.00%,51.33%,-1282.03%,,511.15%,-92.03%,,,,59.62%,,-87.10%,256.68%,-89.58%,,18.79%,-93.86%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-70.20%,-308.28%,-23.42%,31.99%,,69.90%,41.66%,41.90%,95.79%,-40.13%,1218.48%,,-310.25%,13.98%,,-154.68%,,,,,-45.93%,,20.17%,354.95%,-14.12%,-117.54%,,238.04%,,-70.20%,,,,,,,,,,,-122.02%,,-30.14%,790.05%,-100.02%,-253.11%,-104.60%,,434.82%,90.36%,,20.79%,423.41%,2544.70%,39.57%
20211231_单季环比,,37.23%,62.04%,110.75%,322.45%,0.98%,156.70%,,,,,16.89%,202.83%,-305.72%,37.23%,-16.03%,10.42%,,6.68%,,,,-100.00%,-100.00%,,122.33%,5.88%,-100.00%,,,,-88.06%,,,,71.56%,,,-262.92%,-102.31%,,,6.32%,-20.32%,,,,33.75%,44.92%,107.52%,126.29%,-71.85%,,-116.03%,-89.58%,-88.06%,,-93.32%,22.33%,-298.28%,-110.66%,138.90%,169.32%,,1911.73%,-83.14%,,,,58.53%,,-87.52%,-71.85%,-89.03%,,22.33%,-94.12%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-62.77%,-37.96%,10.75%,25.41%,,8.91%,38.04%,118.60%,222.45%,-99.02%,-132.24%,,4863.11%,56.70%,,-597.09%,,,,,,,-83.11%,102.83%,-405.72%,-200.00%,,884.54%,,-62.77%,,,,,,,,,,,1660.70%,,-115.40%,419.96%,,20.31%,-102.74%,,103.96%,-69.70%,,56.98%,124.32%,-28.43%,4.60%
20201231_累计,7.18,6752686739,244850000,960928960,871569091,76208247,19472584400,61.2,1.34,1.34,23.07,-193314957,-113823321,3088658225,2712192572,1846326103,1954308245,10.24,2168341287,,20.53,18.69,28002933995,17138236880,,19285641347,2181541885,10455904743,,255099.07,,1975515329,,,,-68528386.63,,,206026555.9,1588439.28,,,261228514.5,396100336.5,,,,22423101.69,14836768931,973407951.4,62907749.88,21207084.07,,1846326103,1954308245,1975515329,,2168341287,19285641347,,-6663138.05,157857240.6,1909098,,135582350.4,35623699.15,,,,97625042.31,,1968852191,21207084.07,1947645107,,19285641347,2181541885,,,6705666304,6585489222,,,,,,3218415695,1457236850,,211746133.6,211746133.6,,972128095,1408025979,,,,135948241.5,359483164.5,14679154.69,,,,,,259993897.3,,,,3240954478,,3240954478,,,,,,,,,128954193.1,3873426789,,76130653.3,,,,33776287.75,406420414.5,210769637.3,1781240000,59426474.1,59426474.1,,408792371.9,7417442786,78828840.73,260700564.3,5386302627,815028079.7,,301371302,312007129.2,,,,,,146361887.6,11426179.24,,233730526.8,,799333709.8,799333709.8,,-14387945.32,,12091968932,307052233.1,,,,,119551329.2,,,,7400517302,1429890903,,,,,,,,135125000,593881439.8,325839651.7,28002933995,23253041619,15027391680,17138236880,28002933995,4749892376,2110845199,10455904743,10864697115,673049658.5,,,5276889357,4040494166,6752686739,244850000,960928960,1194996927,,198712346,14118652052,937442747,871569091,76208247,1025191919,,133993911,19472584400,,-69327374,,,,,68523247,,-193314957,-113823321,3088658225,75184693,,7954502,,2712192572,,,,,,,,,,,11905712,,1273281774,6968509,,432719131,555834544,,326119991,954745847,,20231423522,1148060804,1280963653,17142765297
20201231_同比,,167.13%,12.08%,140.63%,74.24%,192.82%,137.43%,,,,,,,124.52%,313.77%,203.93%,218.96%,,206.94%,,,,22.72%,21.86%,,148.31%,211.45%,21.66%,,87.13%,,116.73%,,,,,,,71.44%,-95.32%,,,3199.73%,13.39%,,,,-32.58%,49.76%,5.98%,35.16%,11.77%,,103.93%,118.96%,116.73%,,106.94%,48.31%,,,9.24%,,,502.77%,107.76%,,,,-11.33%,,117.62%,11.77%,119.89%,,48.31%,111.45%,,,14.48%,-1.29%,,,,,,-0.77%,0.01%,,836.66%,836.66%,,,,,,,2.94%,108.58%,-5.23%,,,,,,41.28%,,,,10.40%,,10.40%,,,,,,,,,19.25%,15.99%,,-42.28%,,,,76.71%,138.60%,-18.25%,11.61%,3.63%,3.63%,,154.52%,66.42%,-2.89%,42.55%,54.76%,17.64%,,59.66%,125.86%,,,,,,-78.87%,4.80%,,-11.08%,,42.86%,42.86%,,,,29.49%,18.21%,,,,,69.51%,,,,0.49%,80.64%,,,,,,,,-59.44%,35.70%,70.24%,22.72%,26.17%,23.25%,21.86%,22.72%,8.20%,12.79%,21.66%,24.10%,-51.50%,,,46.75%,27.22%,67.13%,-87.92%,40.63%,20.97%,,-3.62%,44.97%,-10.07%,-25.76%,92.82%,-6.81%,,,37.43%,,-896.54%,,,,,92.82%,,,,24.52%,189.02%,,362.70%,,213.77%,,,,,,,,,,,-9.50%,,24.23%,-75.17%,,69.73%,36.31%,,50.97%,-23.10%,,38.19%,-9.01%,-53.18%,40.98%
20201231_环比,,163.17%,29.59%,508.85%,308.39%,532.00%,161.73%,,,,,,-32.43%,607.69%,2769.82%,170.33%,163.49%,,169.43%,,,,8.12%,7.00%,,161.94%,169.51%,7.84%,,,,63.13%,,,,,,,171.24%,-89.57%,,,158.87%,27.14%,,,,74.78%,65.65%,32.71%,59.69%,35.29%,,70.33%,63.49%,63.13%,,69.43%,61.94%,,,61.27%,-59.03%,,52.53%,77.87%,,,,39.93%,,64.64%,35.29%,65.03%,,61.94%,69.51%,,,25.06%,6.03%,,,,,,-1.31%,,,,-29.88%,,-44.42%,-33.50%,,,,-7.92%,54.78%,-1.01%,,,,,,43.99%,,,,,,,,,,,,,,,13.94%,-2.08%,,-19.88%,,,,-19.76%,118.06%,-22.12%,14.55%,,-4.28%,,118.98%,53.58%,-8.67%,104.39%,-2.93%,100.63%,,54.97%,112.37%,,,,,,-76.59%,-94.68%,,,,,,,,,10.83%,-45.18%,,,,,12.93%,,,,11.83%,44.16%,,,,,,,,-25.82%,36.58%,242.91%,8.12%,10.69%,6.36%,7.00%,8.12%,-2.90%,11.83%,7.84%,9.94%,-22.59%,,,13.22%,,63.17%,-70.41%,408.85%,43.54%,,11.64%,47.03%,61.43%,208.39%,432.00%,-3.36%,,-32.06%,61.73%,,,,,,,432.00%,,,-132.43%,507.69%,,,59.48%,,2669.82%,,,,,,,,,,,-95.67%,,-16.13%,,,-19.65%,42.17%,,19.12%,221.52%,,57.42%,11.08%,5.58%,38.88%
20201231_单季,,2614273048,-582638083,772084847,588949120,61883263,7432633322,,,,,543307621,-464754841,2580396617,2614273047,762368704.8,758969271.2,,888569196.5,,,,,,,7376765027,894571465.7,,,865082.52,,764501345.5,,,,-22414819.6,,,130070120.2,-13648289.46,,,160318252.1,84543534.73,,,,9593647.05,5879934064,239934939.1,23513032.87,5532074.31,,762368704.8,758969271.2,764501345.5,,888569196.5,7376765027,,8464229.27,59974738.21,-2750238.47,,46693386.97,15595916.28,,,,27857295.59,,772965574.7,5532074.31,767433500.4,,7376765027,894571465.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2614273048,-582638083,772084847,362491117,,20715470,4516296573,356713335,588949120,61883263,-35625045,,-63244438,7432633322,,-44676348,,,,,61883263,,543307621,-464754841,2580396617,75184693,,2966761,,2614273047,,,,,,,,,,,-262935533,-196889491,-244864582,6968509,-301110153,-105808397,164858041,,52352841,657800892,,7379177766,114493271,67741966,4798781149
20201231_单季同比,,107.02%,-212.10%,193.11%,176.90%,504.98%,132.95%,,,,,8243.45%,56.81%,79.02%,107.02%,172.72%,224.44%,,214.67%,,,,-100.00%,-100.00%,,126.76%,220.31%,-100.00%,,-4302.85%,,126.07%,,,,64.42%,,,23.96%,-143.96%,,,253.12%,-23.46%,,,,-19.27%,28.43%,-35.03%,-6.96%,97131.34%,,72.72%,124.44%,126.07%,,114.67%,26.76%,,-124.48%,29.79%,-94.85%,,-6032.90%,287.63%,,,,-9.98%,,154.61%,97131.34%,152.79%,,26.76%,120.31%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.02%,-312.10%,93.11%,21.73%,,-74.19%,131.23%,32.34%,76.90%,404.98%,-43.91%,,-13.39%,32.95%,,305.78%,,,,,,,8143.45%,-43.19%,-20.98%,189.02%,,136.76%,,7.02%,,,,,,,,,,,-3942.60%,,-215.64%,-61.44%,-4301.42%,-172.59%,314.75%,,66.40%,81.09%,,27.94%,-67.90%,-90.33%,91.76%
20201231_单季环比,,492.59%,-123.94%,855.87%,4688.54%,653.07%,128.90%,,,,,-442.56%,-471.85%,428.34%,492.59%,113.24%,101.30%,,111.14%,,,,-100.00%,-100.00%,,148.52%,111.36%,-100.00%,,-448.17%,,1.06%,,,,89.12%,,,177.68%,-357.33%,,,44.76%,-27.50%,,,,38.35%,71.47%,-7.94%,26.45%,-24.20%,,13.24%,1.30%,1.06%,,11.14%,48.52%,,-208.56%,115.40%,-198.98%,,-41.59%,45.06%,,,,30.93%,,3.24%,-24.20%,3.51%,,48.52%,11.36%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392.59%,-223.94%,755.87%,36.41%,,-82.33%,-10.91%,356.09%,4588.54%,553.07%,-108.14%,,-142.07%,28.90%,,-5.82%,,,,,,,-542.56%,-571.85%,328.34%,,,235.76%,,392.59%,,,,,,,,,,,419.24%,-200.00%,-175.72%,,-212.84%,-122.96%,98.78%,,-55.27%,2884.95%,,16.32%,-20.93%,-91.05%,-16.42%
20191231_累计,5.9,4040494166,2026669920,683280633,1173938486,39522765,14169075483,61.63,0.61,0.61,23.81,-20196946,-1604546496,2480423195,864383281,905373089.1,892552821.2,7.01,1047816873,,10.95,10.42,22819128262,14064317074,,13003331784,1031702654,8594198037,,136321.88,,911526331.3,,,,-58652704.6,,,120176322.4,33953618.5,,,7916660.28,349335567.1,,,,33261077.59,9906843318,918443212.7,46543697.18,18973510.14,,905373089.1,892552821.2,911526331.3,,1047816873,13003331784,10786220.54,-6820343.89,144499540.8,-53372312.38,,22493108.04,17146858.72,,,,110099490.7,,904705987.5,18973510.14,885732477.3,,13003331784,1031702654,,,5857566975,6671828451,,,1562349974,,,3243323818,1457086850,,22606517.69,22606517.69,,,,,,,132059348.8,172343780.2,15489625.77,,,,,,184026765.9,,,,2935746232,,2935746232,,,,,,,,,108135505.1,3339367239,,131893420.6,,,,19113799.11,170335813.6,257830699,1596009522,57344500,57344500,,160613151.4,4456955068,81171267.26,182881465.3,3480499110,692816268.1,,188758631.2,138140969.1,,,,,,692807744,10903238.09,,262856990.8,,559509956.9,559509956.9,,-7724807.27,,9338066084,259742921.4,,,,,70529044.57,,,,7364644719,791550789.9,,,,,,,,333158636.3,437647974,191404146.5,22819128262,18429304933,12192885032,14064317074,22819128262,4389823329,1871432042,8594198037,8754811188,1387604340,,,3595757623,3176110886,4040494166,2026669920,683280633,987884130,,206182224,9739033973,1042382982,1173938486,39522765,1100119833,,-5930802,14169075483,,8703527,,,,,,,-20196946,-1604546496,2480423195,26013442,,1719135,10500000,864383281,,,,,,,,,,,13155491,,1024925512,28062500,25009334,254951096,407779305,,216019537,1241523751,,14640046116,1261720697,2735963995,12159622921
20191231_同比,,127.22%,454.48%,81.37%,118.31%,106.18%,140.67%,,,,,-3.29%,,1371.29%,339.20%,129.40%,110.24%,,114.84%,,,,23.40%,31.47%,,125.41%,111.82%,11.53%,,333.20%,,11.53%,,,,,,,14.07%,2590.07%,,,-50.26%,18.23%,,,,688.47%,27.16%,31.61%,34.84%,147.60%,,29.40%,10.24%,11.53%,,14.84%,25.41%,-13.81%,,53.05%,-30600.95%,,-66.09%,18.81%,,,,33.01%,,11.21%,147.60%,9.91%,,25.41%,11.82%,,,48.03%,5.68%,,,153.02%,,,1.86%,0.38%,,-76.81%,-76.81%,,,,,,,7.05%,20.52%,10.94%,,,,,,25.66%,,,,21.84%,,21.84%,,,,,,,,,22.17%,35.81%,,-16.09%,,,,-0.36%,37.63%,-15.02%,27.17%,76.99%,76.99%,,80.69%,40.33%,-3.90%,-38.93%,12.36%,-24.69%,,-77.63%,7.45%,,,,,,,-79.71%,,4.23%,,12.66%,11.42%,,,,32.37%,56.21%,,,,,182.23%,,,,1.82%,,,,,,,,,-21.22%,21.70%,-39.77%,23.40%,27.41%,31.84%,31.47%,23.40%,8.99%,29.09%,11.53%,12.32%,,,,25.34%,8.72%,27.22%,354.48%,-18.63%,37.51%,,6.02%,16.64%,319.19%,18.31%,6.18%,66.73%,,-112.89%,40.67%,,-38.14%,,,,,6.18%,,-103.29%,,1271.29%,-59.98%,,211.46%,-73.68%,239.20%,,,,,,,,,,,216.76%,,20.88%,-13.39%,-49.62%,73.91%,46.70%,,38.69%,16.91%,,41.11%,182.08%,102.56%,19.28%
20191231_环比,,252.90%,115.68%,241.04%,139.59%,144.94%,165.17%,,,,,,,,,195.13%,161.00%,,165.30%,,,,23.35%,39.96%,,181.00%,164.90%,3.67%,,-13.12%,,58.98%,,,,,,,688.27%,1068.71%,,,,46.24%,,,,55.59%,85.92%,67.26%,118.81%,0.03%,,95.13%,61.00%,58.98%,,65.30%,81.00%,,-124.57%,47.01%,,,-3.38%,30.66%,,,,39.10%,,50.50%,0.03%,52.15%,,81.00%,64.90%,,,79.52%,2.05%,,,89.41%,,,0.36%,,,,-84.13%,,,,,,,10.48%,13.72%,0.48%,,,,,,515.22%,,,,,,,,,,,,,,,-1.64%,2.96%,,8.65%,,,,-37.56%,103.99%,-23.25%,10.46%,,35.28%,,-0.01%,178.97%,-1.03%,-33.54%,9.58%,-20.99%,,-43.90%,452.87%,,,,,,,-93.96%,,,,-5.34%,-7.98%,,-128.77%,,45.03%,48.00%,,,,,209.21%,,,,-0.67%,,,,,,,,,-24.81%,21.70%,168.06%,23.35%,36.95%,45.08%,39.96%,23.35%,-12.94%,13.76%,3.67%,3.60%,,,,7.79%,,152.90%,15.68%,141.04%,43.15%,,63.75%,25.09%,34.88%,39.59%,44.94%,-5.46%,,-108.84%,65.17%,,-55.85%,,,,,44.94%,,,,,,,268.86%,,,,,,,,,,,,,108.39%,,26.04%,180.91%,40.17%,133.48%,10.80%,,17.05%,41.36%,,65.01%,39.41%,34.42%,25.91%
20191231_单季,,2442844313,274696828,399813047,332919723,12254614,5590636296,,,,,6590777,-818142983,3265406414,2442844313,441397698.9,338158541.4,,413920498.5,,,,,,,5819333668,406059922.5,,,-20583.26,,338164231,,,,-13632495.61,,,104930700,31048395.25,,,45400195.44,110453257.6,,,,11884019.88,4578175437,369318289.4,25272429.34,5689.6,,441397698.9,338158541.4,338164231,,413920498.5,5819333668,10786220.54,-34578801,46209662.71,-53372312.38,,-787024.12,4023443.84,,,,30947385.61,,303585430,5689.6,303579740.4,,5819333668,406059922.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2442844313,274696828,399813047,297785846,,80268278,1953163692,269545143,332919723,12254614,-63518342,,-73021251,5590636296,,-11009895,,,,,12254614,,6590777,-818142983,3265406414,26013442,,1253065,10500000,2442844313,,,,,,,,,,,6842639,,211750872,18072500,7166863,145756883,39748990,,31462637,363246837,,5767855815,356656060,700523317,2502449402
20191231_单季同比,,142.32%,-39.22%,225.75%,355.97%,229.54%,128.49%,,,,,-24.87%,249.49%,158.15%,142.32%,257.96%,167.03%,,171.37%,,,,-100.00%,-100.00%,,123.18%,162.52%,-100.00%,,1055.83%,,65.38%,,,,78.94%,,,12.24%,-813.02%,,,28.88%,1120.16%,,,,850.04%,19.23%,39.58%,12.79%,-99.72%,,157.96%,67.03%,65.38%,,71.37%,23.18%,-13.81%,1128.04%,18.72%,-30600.95%,,-104.24%,-57.99%,,,,4.69%,,50.54%,-99.72%,52.06%,,23.18%,62.52%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.32%,-139.22%,125.75%,49.66%,,111.01%,-6.45%,103.88%,255.97%,129.54%,-91.40%,,-336.54%,28.49%,,-279.32%,,,,,552.38%,,-124.87%,149.49%,58.15%,-59.98%,,-101.52%,-73.68%,42.32%,,,,,,,,,,,-154.84%,,196.77%,-44.22%,-119.96%,102.81%,18.51%,,-6.08%,176.73%,,29.43%,126.06%,-252.84%,4.63%
20191231_单季环比,,-395.98%,30.03%,519.60%,111.82%,-854.13%,161.49%,,,,,12.11%,147.99%,-2338.32%,-395.98%,248.59%,152.46%,,168.98%,,,,-100.00%,-100.00%,,213.83%,163.46%,-100.00%,,-208.61%,,45.03%,,,,-10.24%,,,-581.57%,1910.18%,,,-230.39%,24.56%,,,,738.01%,116.56%,65.61%,269.43%,-99.95%,,148.59%,52.46%,45.03%,,68.98%,113.83%,-557.87%,-211.97%,-8.47%,,,-129.20%,-17.47%,,,,1.69%,,14.97%,-99.95%,20.14%,,113.83%,63.46%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-495.98%,-69.97%,419.60%,44.05%,,301.59%,-37.73%,21.48%,11.82%,-954.13%,-116.17%,,-226.35%,61.49%,,-152.09%,,,,,,,-87.89%,47.99%,-2438.32%,,,524194.98%,,-495.98%,,,,,,,,,,,,,-32.62%,,-159.77%,194.27%,75.08%,,7.34%,22.60%,,62.90%,47.46%,-29.35%,-32.00%
