科目,每股净资产(元/股),期末现金及现金等价物余额(元),投资支付的现金(元),构建固定资产、无形资产和其他长期资产支付的现金(元),取得借款收到的现金(元),吸收投资收到的现金(元),销售商品、提供劳务收到的现金(元),资产负债率(%),每股收益-基本(元/股),每股收益-稀释(元/股),销售毛利率(%),筹资活动产生的现金流量净额(元),投资活动产生的现金流量净额(元),经营活动产生的现金流量净额(元),现金及现金等价物净增加额(元),扣除非经常性损益后净利润(元),净利润（不含少数股东损益）(元),销售净利率(%),营业利润(元),研发费用(元),ROE-扣非(),ROE-摊薄(),资产总计(元),负债合计(元),营业总成本(元),营业总收入(元),利润总额(元),股东权益合计（不含少数股东权益）(元),以摊余成本计量的金融资产终止确认收益(元),资产处置收益(元),提取保险责任准备金(元),持续经营净利润(元),信用减值损失(元),保户红利支出(元),终止经营净利润(元),减：利息收入(元),手续费及佣金收入(元),其中：减：非流动资产处置净损失(元),所得税(元),其中：对联营企业和合营企业的投资收益(元),已赚保费(元),利息收入(元),财务费用(元),管理费用(元),减：手续费及佣金支出(元),资产减值损失(元),减：利息支出(元),减：营业外支出(元),减：营业成本(元),销售费用(元),减：营业税金及附加(元),少数股东损益(元),净敞口套期收益(元),扣除非经常性损益后净利润(元),净利润（不含少数股东损益）(元),净利润（含少数股东损益）(元),国际会计准则净利润(元),营业利润(元),营业收入(元),其他业务成本(元),加：其他综合收益(元),其他收益(元),加：公允价值变动净收益(元),加：汇兑净收益(元),加：投资净收益(元),加：营业外收入(元),退保金(元),研发费用(元),分保费用(元),其中：利息费用(元),赔付总支出(元),综合收益总额(元),归属于少数股东的综合收益总额(元),归属于母公司普通股东综合收益总额(元),营业总成本(元),营业总收入(元),利润总额(元),未确认投资损失(元),预提费用(元),应付账款(元),应收账款(元),代理买卖证券款(元),代理承销证券款(元),预收款项(元),应付债券(元),向中央银行借款(元),资本公积(元),股本(元),外币报表折算差额(元),在建工程(元),在建工程合计(元),消耗性生物资产(元),合同资产(元),合同负债(元),债权投资(元),待摊费用(元),递延收益(元),递延收益-非流动负债(元),递延所得税资产(元),递延所得税负债(元),吸收存款及同业存放(元),衍生金融资产(元),衍生金融负债(元),应付股利(元),应收股利(元),应付职工薪酬(元),以摊余成本计量的金融资产(元),以公允价值计量且变动计入其他综合收益的金融资产(元),可供出售的金融资产(元),固定资产(元),固定资产清理(元),固定资产合计(元),卖出回购金融资产款(元),商誉(元),应付手续费及佣金(元),持有至到期投资(元),持有待售的资产(元),持有待售负债(元),应付利息(元),应收利息(元),无形资产(元),存货(元),投资性房地产(元),减：库存股(元),发放贷款及垫款(元),拆入资金(元),拆出资金(元),长期待摊费用(元),长期股权投资(元),长期应收款(元),长期借款(元),长期应付款(元),长期应付款合计(元),长期应付职工薪酬(元),少数股东权益(元),货币资金(元),一年内到期非流动资产(元),一年内到期的非流动负债(元),应付票据(元),应收票据(元),油气资源(元),其他流动资产(元),其他流动负债(元),其他债权投资(元),其他权益工具(元),优先股(元),其他金融类流动资产(元),其他金融类流动负债(元),其他非流动金融资产(元),其他非流动资产(元),其他非流动负债(元),其他应付款(元),其他应付款合计(元),其他应收款(元),其他应收款合计(元),永续债(元),其他综合收益(元),应付分保账款(元),应付票据及应付账款(元),预付款项(元),应收保费(元),生产性生物资源(元),工程物资(元),一般风险准备(元),预计负债(元),应收分保合同准备金(元),应收分保账款(元),开发支出(元),应收票据及应收账款(元),应收款项融资(元),买入返售金融资产(元),使用权资产(元),保险合同准备金(元),结算备付金(元),专项储备(元),专项应付款(元),应付短期债券(元),短期借款(元),盈余公积金(元),应交税费(元),资产总计(元),流动资产合计(元),流动负债合计(元),负债合计(元),负债及股东权益合计(元),非流动资产合计(元),非流动负债合计(元),股东权益合计（不含少数股东权益）(元),股东权益合计（含少数股东权益)(元),交易性金融资产(元),交易性金融负债(元),未确认的投资损失(元),未分配利润(元),期初现金及现金等价物余额(元),期末现金及现金等价物余额(元),投资支付的现金(元),构建固定资产、无形资产和其他长期资产支付的现金(元),支付给职工以及为职工支付的现金(元),支付原保险合同赔付款项的现金(元),分配股利、利润或偿付利息支付的现金(元),购买商品、接受劳务支付的现金(元),偿还债务支付的现金(元),取得借款收到的现金(元),吸收投资收到的现金(元),收回投资收到的现金(元),收到原保险合同保费取得的现金(元),取得投资收益收到的现金(元),销售商品、提供劳务收到的现金(元),支付保单红利的现金(元),汇率变动对现金的影响(元),经营活动现金流入(金融类)(元),经营活动现金流出(金融类)(元),企业自由现金流(FCFF)(元),支付手续费的现金(元),其中：子公司吸收少数股东投资收到的现金(元),其中：子公司支付给少数股东的股利、利润(元),筹资活动产生的现金流量净额(元),投资活动产生的现金流量净额(元),经营活动产生的现金流量净额(元),取得子公司及其他营业单位支付的现金净额(元),收到再保业务现金净额(元),处置固定资产、无形资产和其他长期资产收回的现金净额(元),处置子公司及其他营业单位收到的现金净额(元),现金及现金等价物净增加额(元),客户贷款及垫款净增加额(元),存放央行和同业款项净增加额(元),客户存款和同业存放款项净增加额(元),处置交易性金融资产净增加额(元),向其他金融机构拆入资金净增加额(元),保户储金净增加额(元),收取利息和手续费净增加额(元),向中央银行借款净增加额(元),拆入资金净增加额(元),回购业务资金净增加额(元),支付其他与筹资活动有关的现金(元),支付其他与投资活动有关的现金(元),支付其他与经营活动有关的现金(元),收到其他与筹资活动有关的现金(元),收到其他与投资活动有关的现金(元),收到其他与经营活动有关的现金(元),支付的各项税费(元),发行债券收到的现金(元),收到的税费返还(元),筹资活动现金流入小计(元),投资活动现金流入小计(元),经营活动现金流入小计(元),筹资活动现金流出小计(元),投资活动现金流出小计(元),经营活动现金流出小计(元)
20181231_累计,5.31,3176110886,445927868,839733349.7,992282412.7,37220860,10072698297,57.85,0.56,0.56,24.86,614605363.2,-554730088.9,180882222.4,254826871.6,699673580.3,809628201.9,7.88,912426356.4,482297536.9,11.05,10.51,18492650082,10697825718,9317185627,10368931999,922640011.9,7705933542,,31468.8,,817291291.7,,,,49638936.03,,,105348720.3,1262184.23,,,15916397.84,295463701,,300268607.2,,4218425.87,7791149935,697840554.9,34517501.4,7663089.74,,699673580.3,809628201.9,817291291.7,,912426356.4,10368931999,,-3743820.87,94416255.75,174985.75,,66325880.89,14432081.36,,482297536.9,,82775052.63,,813547470.8,7663089.74,805884381.1,9317185627,10368931999,922640011.9,,,3956992867,6313125199,,,617481551.4,,,3184122005,1451513600,,97503801.88,97503801.88,,,,,,,123359798.5,142996608.1,13962417.5,,,,4568347.22,,146447886.9,,,789102600,2409432212,,2409432212,,,,,,,3982579.42,5529708.09,88511772.62,2458912838,,157182181.5,,,,19183390.89,123761732.8,303402123.9,1255030138,,32400000,,88890822.28,3176110886,84461994.32,299471004.2,3097704666,920007481.7,,843953485.9,128565054.6,,,,,,,53732664.11,,252182298.7,260733225.4,496645437.9,502175146,,-904463.38,,7054697533,166276144.3,,,,,24989831.2,,,,7233132681,,,,,,,,,422874977.8,359619495.4,317812299.4,18492650082,14465023175,9248083533,10697825718,18492650082,4027626907,1449742185,7705933542,7794824364,,,,2868765086,2921284014,3176110886,445927868,839733349.7,718413661.8,,194475921.1,8349898754,248668903.4,992282412.7,37220860,659839334,,46014650.33,10072698297,,14069374.99,,,-310550023,,1878460,,614605363.2,-554730088.9,180882222.4,65000000,,551951.77,39886256.6,254826871.6,,,,,,,,,,,4153085,,847893200.6,32400000,49638936.03,146600517,277966905.7,,155755930.5,1061903273,795931128.7,10375054745,447297909.6,1350661218,10194172522
20181231_同比,,108.72%,95.63%,235.58%,104.17%,14.52%,117.43%,,,,,112.94%,,21.15%,20.82%,75.90%,79.05%,,79.67%,,,,13.81%,15.97%,121.38%,116.69%,79.42%,10.98%,,-95.34%,,-19.42%,,,,,,,-28.56%,,,,-71.14%,-51.63%,,40.26%,,-0.94%,20.53%,34.68%,23.82%,,,-24.10%,-20.95%,-19.42%,,-20.33%,16.69%,,-442.71%,-11.21%,38.24%,,56.57%,-30.44%,,,,,,-19.88%,,-21.40%,21.38%,16.69%,-20.58%,,,32.56%,25.12%,,,-21.81%,,,1.56%,0.22%,,-13.05%,-13.05%,,,,,,,8.68%,23.86%,,,,,175.51%,,24.75%,,,42.98%,37.94%,,37.94%,,,,,,,45.81%,-39.57%,2.18%,3.64%,,-11.21%,,,,-39.34%,89.42%,-13.18%,2.58%,,,,12.02%,8.72%,6.86%,,-10.96%,3.49%,,-38.35%,149.74%,,,,,,,221.98%,,9.91%,11.50%,26.61%,25.10%,,-131.85%,,9.14%,110.51%,,,,,173.73%,,,,21.88%,,,,,,,,,4121.30%,34.26%,49.55%,13.81%,9.82%,17.38%,15.97%,13.81%,30.94%,7.70%,10.98%,10.99%,,,,26.56%,72.10%,8.72%,-4.37%,135.58%,51.00%,,60.75%,30.34%,-54.04%,4.17%,-85.48%,36.50%,,-15.28%,17.43%,,,,,-130.49%,,-85.48%,,12.94%,,-78.85%,,,-84.02%,18553.21%,-79.18%,,,,,,,,,,,62.64%,,13.27%,,-57.44%,66.82%,-8.42%,,25.58%,-12.15%,20.96%,18.04%,-32.70%,63.19%,28.48%
20181231_环比,,217.59%,38.90%,126.73%,110.41%,116.75%,176.04%,,,,,95.87%,,,,132.37%,133.34%,,136.00%,168.87%,,,10.66%,17.67%,188.25%,183.70%,137.14%,2.28%,,-5.36%,,33.37%,,,,18.13%,,,75.68%,-77.53%,,,,3.16%,,135.15%,,42.15%,97.18%,61.07%,184.99%,35.79%,,32.37%,33.34%,33.37%,,36.00%,83.70%,,,70.14%,,,38.83%,197.24%,,68.87%,,55.55%,,32.96%,35.79%,32.93%,88.25%,83.70%,37.14%,,,,15.59%,,,16.59%,,,-0.11%,-0.01%,,-74.85%,-74.85%,,,,,,,-6.95%,1.80%,-1.18%,,,,,,139.04%,,,-5.17%,32.44%,,32.44%,,,,,,,,,1.74%,-29.45%,,18.39%,,,,-46.73%,76.12%,-4.29%,-20.78%,,,,2.90%,117.59%,-37.94%,,,22.77%,,-17.20%,167.03%,,,,,,,314.60%,,,3.98%,,,,-147.32%,,19.92%,59.05%,,,,,80.75%,,,,16.45%,,,,,,,,,-12.10%,34.26%,243.68%,10.66%,11.19%,25.89%,17.67%,10.66%,8.77%,-16.91%,2.28%,2.28%,,,,4.01%,,117.59%,-61.10%,26.73%,38.31%,,24.32%,33.34%,113.52%,10.41%,16.75%,-52.82%,,203.83%,76.04%,,77.43%,,,,,16.75%,,-4.13%,,,,,-99.33%,,,,,,,,,,,,,-75.03%,,9.19%,,-41.97%,96.17%,13.72%,,27.40%,14.10%,-49.69%,75.29%,54.49%,-25.34%,30.65%
20181231_单季,,1716423749,-700435894.7,177104131.5,93524834.24,5338806,4350985610,,,,,-26504092.76,-327930691.8,2064718725,1716423749,171112350.7,202454159.4,,241530435.6,196686532.9,,,,,4367774056,4724373846,249856291.4,,,-1780.82,,204473716.3,,,,7618344.12,,,45382575.11,-4354494.17,,,35228022.15,9052378.79,,172576376.6,,1250893.54,3839800667,264600798.2,22405656.67,2019556.92,,171112350.7,202454159.4,204473716.3,,241530435.6,4724373846,,-2815762.36,38923421.49,174985.75,-142293.6,18552688.84,9576749.3,,196686532.9,,29561256.55,,201657953.9,2019556.92,199638397,4367774056,4724373846,249856291.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1716423749,-700435894.7,177104131.5,198976125,,38039960.78,2087765690,132205962.3,93524834.24,5338806,-738718305.4,,30870001.42,4350985610,,6139808.2,,,1988183053,,5338806,,-26504092.76,-327930691.8,2064718725,65000000,,-82395424.23,39886256.6,1716423749,,,,,,,,,,,-12478190.03,,71352223.95,32400000,-35904983.39,71869565.36,33540305.71,,33497894.54,131263640.2,-786262455,4456353070,157767733,-458331763.2,2391634344
20181231_单季同比,,113.08%,-353.44%,-546.37%,28.60%,6.97%,125.48%,,,,,-9.13%,40287.84%,167.30%,113.08%,69.10%,74.12%,,75.30%,,,,-100.00%,-100.00%,214.38%,210.49%,79.83%,-100.00%,,-100.26%,,-79.84%,,,,,,,4.30%,-249.02%,,,27.94%,-94.91%,,-630.90%,,-11.40%,136.16%,39.46%,36.31%,-155.11%,,-30.90%,-25.88%,-24.12%,,-24.70%,110.49%,,-1077.45%,-42.13%,38.24%,,40.36%,-250.19%,,,,,,-25.25%,-155.11%,-26.99%,114.38%,110.49%,-20.17%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.08%,-453.44%,-646.37%,34.70%,,82.02%,24.80%,41.20%,-71.40%,-93.03%,-279.80%,,-22.26%,25.48%,,-205.99%,,,12.03%,,-92.88%,,-109.13%,40187.84%,67.30%,,,-2600.15%,18553.21%,13.08%,,,,,,,,,,,855.99%,,-36.81%,-7439995.29%,-98.53%,-123.17%,0.44%,,-23.66%,-67.48%,-60.61%,39.21%,39.34%,-77.03%,21.59%
20181231_单季环比,,376.42%,-2183.35%,229.07%,30.21%,-5.99%,209.95%,,,,,-20.01%,-610.86%,790.55%,376.42%,90.29%,90.30%,,100.80%,68.87%,,,-100.00%,-100.00%,281.34%,270.09%,103.01%,-100.00%,,-105.36%,,-66.63%,,,,-81.87%,,,282.71%,-177.53%,,,-256.02%,-116.17%,,8044.50%,,-31.26%,220.26%,83.29%,962.44%,-68.93%,,-9.71%,-9.70%,-11.37%,,0.80%,170.09%,,164.61%,47.37%,-222.98%,-200.00%,-0.10%,101.04%,,-31.13%,,-44.45%,,-12.18%,-68.93%,-10.53%,181.34%,170.09%,3.01%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.42%,-2283.35%,129.07%,17.11%,,145.26%,51.97%,136.87%,-69.79%,-105.99%,-666.69%,,1157.42%,109.95%,,-29.46%,,,670.21%,,,,-120.01%,-710.86%,690.55%,,,93.63%,,276.42%,,,,,,,,,,,-175.03%,,-78.39%,,-149.31%,320.21%,115.99%,,-45.23%,-40.44%,-582.13%,107.21%,79.37%,-518.96%,26.58%
20171231_累计,4.79,2921284014,466323400,356460045,952515605,256259600,8577645310,56.78,0.71,0.71,27.26,544186967.1,-169651224.9,855355842,1223832987,921829838.8,1024196698,11.41,1145291896,,,14.75,16248005973,9224880818,7676177166,8886060069,1161780737,6943775882,,675257.29,,1014320332,,,,,,,147460404.9,-2520837.79,,,55153129.87,610895417.7,,214086403.3,,4258353.12,6464107356,518144793.8,27876468.63,-9876366.41,,921829838.8,1024196698,1014320332,,1145291896,8886060069,,1092403.78,106330627.2,126581.09,,42362931.53,20747193.58,,,,,,1015412736,-9876366.41,1025289102,7676177166,8886060069,1161780737,,,2985042192,5045615836,,,789699756,,,3135063721,1448278600,,112137198.2,112137198.2,,,,,,,113508364,115451573.2,,,,,1658125.21,,117396832.8,,,551908680,1746785350,,1746785350,,,,,,,2731381.94,9150551.37,86625196.04,2372619444,,177024464,,,,31624370.95,65335598.36,349472598.6,1223420046,,,,79349272.54,2921284014,79040000,,3478829882,889004246.9,,1368874509,51480227.81,,,,,,,16688107.1,,229451085.4,233840592.5,392274468.8,401425020.2,,2839357.49,,6463872074,78987650.2,,,,,9129284.87,,,,5934620082,,,,,,,,,10017640.53,267862406.8,212515999.8,16248005973,13171977300,7878823124,9224880818,16248005973,3076028672,1346057694,6943775882,7023125154,15126581.09,,,2266756261,1697451027,2921284014,466323400,356460045,475775793.3,,120978293.3,6406365095,541056456.6,952515605,256259600,483413420.5,,54313072.55,8577645310,,-6058596.69,,,1018623581,,75000000,,544186967.1,-169651224.9,855355842,,,3453123.13,213830.54,1223832987,,,,,,,,,,,2553488,,748533891.6,,116639423.4,87879096.99,303526321.8,,124032536.1,1208775205,658032870.1,8789556943,664588238,827684095,7934201101
20171231_同比,,172.10%,393.73%,26.27%,105.91%,9.64%,141.08%,,,,,17.84%,,98.79%,123.00%,183.07%,185.00%,,186.75%,,,,39.39%,62.04%,145.63%,148.01%,173.88%,16.71%,,,,,,,,,,,20.86%,-155.21%,,,,42.07%,,64.37%,,73.77%,42.78%,81.14%,-10.57%,,,83.07%,85.00%,85.73%,,86.75%,48.01%,,,,,,290.08%,-63.79%,,,,,,86.26%,,85.53%,45.63%,48.01%,73.88%,,,11.69%,34.08%,,,257.12%,,,6.19%,2.40%,,-88.30%,-88.30%,,,,,,,34.46%,65.69%,,,,,,,167.62%,,,59.27%,127.26%,,127.26%,,,,,,,-72.19%,-4.65%,-0.87%,77.10%,,,,,,111.41%,31.70%,,280.89%,,,,457.79%,72.10%,,,115.65%,71.16%,,-18.11%,-82.84%,,,,,,,160.49%,,723.24%,520.37%,53.30%,51.21%,,62.53%,,50.82%,-15.71%,,,,,314.69%,,,,38.58%,,,,,,,,,-94.96%,49.14%,7.38%,39.39%,40.87%,49.07%,62.04%,39.39%,33.36%,230.06%,16.71%,17.77%,,,,61.73%,141.63%,72.10%,293.73%,-73.73%,42.01%,,24.50%,48.32%,33.09%,5.91%,-90.36%,4499.70%,,1094.37%,41.08%,,-2679.13%,,,,,-90.36%,,-82.16%,,-1.21%,,,19.25%,,23.00%,,,,,,,,,,,-6.69%,,54.16%,,645.98%,9.50%,59.34%,,244.83%,-66.01%,1859.09%,41.85%,31.23%,-71.99%,48.85%
20171231_环比,,208.16%,173.91%,91.66%,152.27%,142.65%,167.85%,,,,,214.41%,,,,136.73%,136.37%,,138.91%,,,,6.34%,9.28%,136.13%,133.79%,136.87%,1.69%,,,,,,,,,,,41.86%,,,,99.70%,41.06%,,-13.18%,,49.60%,33.61%,57.77%,143.70%,,,36.73%,36.37%,36.18%,,38.91%,33.79%,,35.82%,172.18%,,,45.35%,-23.51%,,,,,,36.18%,,36.37%,36.13%,33.79%,36.87%,,,-19.50%,-24.15%,,,71.90%,,,0.61%,-0.01%,,118.50%,118.50%,,,,,,,41.69%,-2.00%,,,,,-0.53%,,209.22%,,,-0.17%,4.17%,,4.17%,,,,,,,3112.34%,25.43%,-1.45%,25.47%,,,,,,54.38%,-45.55%,,72.01%,,,,847.35%,108.16%,,,23.40%,21.41%,,10.05%,21.13%,,,,,,,406.01%,,286.40%,282.51%,-30.91%,-30.20%,,11.29%,,-0.98%,-47.57%,,,,,-83.32%,,,,-19.63%,,,,,,,,,-95.51%,49.14%,-12.87%,6.34%,4.14%,3.73%,9.28%,6.34%,16.94%,59.09%,1.69%,2.73%,,,,8.88%,,108.16%,73.91%,-8.34%,45.03%,,20.88%,35.34%,20.93%,52.27%,42.65%,566.16%,,271.93%,67.85%,,,,,,,42.65%,,114.41%,,,,,2092.46%,,,,,,,,,,,,,-33.83%,,17.76%,,-95.46%,-77.92%,12.36%,,54.75%,50.13%,-75.21%,57.28%,20.53%,-70.68%,32.96%
20171231_单季,,1517921026,198176200,-32414587.99,326985050.2,76615472,3467395537,,,,,290378112.5,-813969.45,1234149805,1517921026,247631176,273144534.8,,320778150.4,,,,,,2037430257,2244418837,312989710.7,,,675257.29,,1014320332,,,,,,-551359.92,43510063.29,2922043.52,,,27535444.87,177811029.8,,-32506126.74,,1411839.35,1625910305,189736087.9,16437389.19,-3664887.42,,247631176,273144534.8,269479647.4,,320778150.4,2244418837,,288072.34,67263751.99,126581.09,,13217853.25,-6376600.4,,,,,,269767719.7,-3664887.42,273432607.1,2037430257,2244418837,312989710.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1517921026,198176200,-32414587.99,147722185.7,,20899187.55,1672945648,93628048.65,326985050.2,76615472,410845948.5,,39709957.85,3467395537,,-5792921.35,,,1774731523,,76615472,,290378112.5,-813969.45,1234149805,,,3295623.13,213830.54,1517921026,,,,,,,,,,,-1305262,-2165808329,112908366.4,-435.49,-2450025397,-310157283.9,33394888.45,,43882639.72,403600086.7,-1995960037,3201120893,113221974.2,-1995146067,1966971089
20171231_单季同比,,-242.47%,198.99%,-3.60%,320.79%,239.66%,115.36%,,,,,-3397.34%,0.04%,95.68%,-242.47%,101.61%,106.42%,,108.76%,,,,-100.00%,-100.00%,84.73%,80.94%,102.80%,-100.00%,,,,,,,,,,-186.02%,-17.73%,96.80%,,,-581.79%,19.40%,,-140.03%,,7.59%,-23.78%,71.05%,-4.52%,-28.10%,,1.61%,6.42%,7.11%,,8.76%,-19.06%,,-64.95%,,,,69.92%,-158.79%,,,,,,6.88%,-28.10%,6.19%,-15.27%,-19.06%,2.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-342.47%,98.99%,-103.60%,42.36%,,199.20%,9.87%,-27.66%,220.79%,139.66%,17447.38%,,773.24%,15.36%,,52.87%,,,-289.88%,,,,-3497.34%,-99.96%,-4.32%,,,20.03%,,-342.47%,,,,,,,,,,,1940.59%,-339.93%,296.28%,-99.99%,21637.74%,266.38%,-366.82%,,290.64%,215.80%,121866.83%,9.17%,-16.96%,-204.90%,19.76%
20171231_单季环比,,729.19%,90.47%,-23.14%,186.81%,-4742.61%,129.64%,,,,,209.19%,0.16%,217.96%,729.19%,73.19%,71.52%,,78.83%,,,,-100.00%,-100.00%,78.40%,72.39%,74.77%,-100.00%,,,,,,,,,,33.46%,12.63%,-266.51%,,,67.40%,-1.61%,,-124.82%,,-13.26%,-28.30%,41.84%,11622.38%,86.29%,,-26.81%,-28.48%,-29.07%,,-21.17%,-27.61%,,-68.67%,141.93%,,,54.42%,-147.97%,,,,,,-29.17%,86.29%,-28.58%,-21.60%,-27.61%,-25.23%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,629.19%,-9.53%,-123.14%,88.09%,,219.84%,-13.46%,286.70%,86.81%,-4842.61%,7681.95%,,171.93%,29.64%,,984.32%,,,382.79%,,,,109.19%,-99.84%,117.96%,,,4353.54%,,629.19%,,,,,,,,,,,-133.83%,-277.13%,-71.53%,-200.00%,-329.94%,-189.39%,-55.66%,,54.53%,132.73%,-283.88%,4.96%,227.18%,-226.13%,-20.80%
20161231_累计,4.21,1697451027,118438752,1357086312,899368401.2,2656941475,6080050192,48.84,0.41,0.41,9.1,3049866767,-2920941367,865792599.2,994952907.4,503541173.3,553613069.3,24.59,613286547.9,,,9.31,11656799147,5693134542,5270992080,6003662456,668135709.9,5949438966,,,,,,,,,,885096.89,122005805.7,4566102.65,,,-3667793.98,430001997.3,,130243837.6,,2450596.66,4527436193,286050888.6,31170794.31,-7483165.05,,503541173.3,553613069.3,546129904.2,,613286547.9,6003662456,,-972842.9,,,,10860008.84,57299758.72,,,,,,545157061.3,-7483165.05,552640226.4,5270992080,6003662456,668135709.9,,,2672576635,3763033162,,,221127486,,,2952246013,1414308600,,958082336.3,958082336.3,,,,,,,84419442.3,69679373.63,,,,,,,43867789.12,,,346528752,768628692.3,,768628692.3,,,,,,,9822153.48,9596483.34,87382760.39,1339703932,5228068.15,,,,,14958646.66,49610574.73,,321200371.6,,,,14225638.95,1697451027,,,1613215353,519409333.6,,1671505734,300000000,,,,,,,6406470.58,,27871872.5,37694025.98,255880002.6,265476485.9,,1746953.71,,4285791988,93713796.79,,,,,2201446.81,,,,4282442496,,,,,,,,,198916124.2,179600037,197915867.9,11656799147,9350293472,5285313281,5693134542,11656799147,2306505675,407821260.7,5949438966,5963664605,,,,1401537362,702498119.4,1697451027,118438752,1357086312,335027947.5,,97173514.28,4319417631,406533127.7,899368401.2,2656941475,10509680.01,,4547422.85,6080050192,,234908.36,,,-2224709916,,,,3049866767,-2920941367,865792599.2,,,2895706.14,,994952907.4,,,,,,,,,,,2736467.2,1479004938,485554250.9,,15635825.89,80257294.02,190484703.3,,35969645.11,3556309876,33588634.89,6196277132,506443109.2,2954530002,5330484532
