日期,货币资金,交易性金融资产,应收票据,应收票据及应收账款,应收账款,应收款项融资,预付款项,其他应收款,其他应收款合计,存货,合同资产,其他流动资产,流动资产合计,非流动资产合计,长期应收款,长期应收款,其他非流动金融资产,固定资产,在建工程,使用权资产,无形资产,长期待摊费用,递延所得税资产,其他非流动资产,短期借款,交易性金融负债,衍生金融负债,应付票据,应付票据及应付账款,合同负债,应付职工薪酬,应交税费,其他应付款,其他应付款合计,一年内到期的非流动负债,流动负债合计,长期借款,长期应付款,预计负债,递延收益-非流动负债,递延所得税负债,其他非流动负债,非流动负债合计,负债合计
20221231_累计,11666601491,1490493997,1086866640,14890906903,13804040263,1038041498,382891914.7,1144424132,1171813635,19060142585,1291527303,947593110.2,51993725437,9632486090,352460000,352460000,303677643,4543555993,1188671605,559699600.8,340374616.4,98761004.79,1024759728,992247656.3,1422187421,51919973.63,1027953.77,12502200529,25925989201,3788439560,647136521.7,842046338.3,760375319.2,,809879585.7,35468598131,4161650000,596102307.8,1012055994,166799167.2,13401614.14,39610000,6420618195,41889216326
20221231_同比,0.4976,-0.6091,0.3857,0.5621,0.5779,0.361,0.0641,0.209,0.2379,0.7702,-0.0534,0.0583,0.432,0.4745,0.6544,0.6544,6.5903,0.0701,1.8014,0.6252,0.9519,3.1678,0.6051,2.1673,-0.0672,,,0.5746,0.4594,1.2104,0.6985,0.6551,0.518,,2.9435,0.5088,1.2002,9.615,3.1804,0.179,-0.0514,,1.4421,0.6027
20221231_环比,0.6266,-0.4931,0.7259,0.3383,0.315,-0.0478,-0.6222,,,-0.0823,0.0088,-0.1499,0.0928,0.2044,-0.1098,-0.1098,2.7426,,,-0.0604,0.0276,2.5497,0.4119,0.4882,-0.33,,,0.0023,0.0707,0.2343,0.628,0.7829,,,2.4568,0.1141,-0.0374,,1.2461,-0.0248,-0.2494,,0.1466,0.1189
20211231_累计,7790144016,3812896789,784339002.7,9532480500,8748141498,762715906.6,359819409.5,946579893.5,946579893.5,10767519366,1364393136,895355467.2,36307432822,6532698094,213044303.4,213044303.4,40008527.59,4245993353,424310899.3,344386440.7,174385023.7,23696359.28,638432375.3,313281445.2,1524580849,,,7939950795,17764837612,1713946572,380993967,508768582.4,500890674.5,,205372932.3,23507362032,1891445000,56156864.1,242096475.5,141475530.7,14127384.33,,2629090834,26136452867
20211231_同比,0.0502,4.6651,-0.0377,0.2881,0.3284,-0.4666,0.1719,0.1842,0.1842,1.7798,0.4035,1.9709,0.5614,0.3753,0.0108,0.0108,-0.7266,0.3101,1.0039,,0.3523,-0.2984,0.776,26.4179,10.2827,,,0.4741,0.4691,0.2173,0.4654,0.5614,1.143,,-0.2122,0.5643,0.0619,-0.055,1.025,0.0407,-0.0376,,0.2455,0.525
20211231_环比,0.1483,1.4829,0.7275,0.0588,0.0233,-0.1713,-0.4616,,,0.15,-0.305,0.4627,0.1415,0.112,-0.0925,-0.0925,-0.8025,,,0.5518,0.0576,-0.2362,0.6669,-0.2409,0.793,,,0.0722,0.2207,-0.0763,0.7704,3.9555,,,-0.5251,0.2463,0.1259,,0.0983,-0.3273,0.1642,,0.1049,0.2305
20201231_累计,7417442786,673049658.5,815028079.7,7400517302,6585489222,1429890903,307052233.1,799333709.8,799333709.8,3873426789,972128095,301371302,23253041619,4749892376,210769637.3,210769637.3,146361887.6,3240954478,211746133.6,,128954193.1,33776287.75,359483164.5,11426179.24,135125000,,,5386302627,12091968932,1408025979,259993897.3,325839651.7,233730526.8,,260700564.3,15027391680,1781240000,59426474.1,119551329.2,135948241.5,14679154.69,,2110845199,17138236880
20201231_同比,0.6642,-0.515,0.1764,0.0049,-0.0129,0.8064,0.1821,0.4286,0.4286,0.1599,,0.5966,0.2617,0.082,-0.1825,-0.1825,-0.7887,0.104,8.3666,,0.1925,0.7671,1.0858,0.048,-0.5944,,,0.5476,0.2949,,0.4128,0.7024,-0.1108,,0.4255,0.2325,0.1161,0.0363,0.6951,0.0294,-0.0523,,0.1279,0.2186
20201231_环比,0.5358,-0.2259,1.0063,0.1183,0.0603,0.4416,-0.4518,,,-0.0208,-0.4442,0.5497,0.1069,-0.029,-0.2212,-0.2212,-0.7659,,,,0.1394,-0.1976,0.5478,-0.9468,-0.2582,,,-0.0293,0.1083,-0.335,0.4399,2.4291,,,1.0439,0.0636,0.1455,,0.1293,-0.0792,-0.0101,,0.1183,0.07
20191231_累计,4456955068,1387604340,692816268.1,7364644719,6671828451,791550789.9,259742921.4,559509956.9,559509956.9,3339367239,,188758631.2,18429304933,4389823329,257830699,257830699,692807744,2935746232,22606517.69,,108135505.1,19113799.11,172343780.2,10903238.09,333158636.3,,,3480499110,9338066084,,184026765.9,191404146.5,262856990.8,,182881465.3,12192885032,1596009522,57344500,70529044.57,132059348.8,15489625.77,,1871432042,14064317074
20191231_同比,0.4033,,-0.2469,0.0182,0.0568,,0.5621,0.1266,0.1142,0.3581,,-0.7763,0.2741,0.0899,-0.1502,-0.1502,,0.2184,-0.7681,,0.2217,-0.0036,0.2052,-0.7971,-0.2122,,,0.1236,0.3237,,0.2566,-0.3977,0.0423,,-0.3893,0.3184,0.2717,0.7699,1.8223,0.0705,0.1094,,0.2909,0.3147
20191231_环比,1.7897,,-0.2099,-0.0067,0.0205,,0.48,-0.0534,-0.0798,0.0296,,-0.439,0.3695,-0.1294,-0.2325,-0.2325,,,,,-0.0164,-0.3756,0.1372,-0.9396,-0.2481,,,0.0958,0.4503,,5.1522,1.6806,,,-0.3354,0.4508,0.1046,,2.0921,0.1048,0.0048,,0.1376,0.3996
20181231_累计,3176110886,,920007481.7,7233132681,6313125199,,166276144.3,496645437.9,502175146,2458912838,,843953485.9,14465023175,4027626907,303402123.9,303402123.9,,2409432212,97503801.88,,88511772.62,19183390.89,142996608.1,53732664.11,422874977.8,,,3097704666,7054697533,,146447886.9,317812299.4,252182298.7,260733225.4,299471004.2,9248083533,1255030138,,24989831.2,123359798.5,13962417.5,,1449742185,10697825718
20181231_同比,0.0872,,0.0349,0.2188,0.2512,,1.1051,0.2661,0.251,0.0364,,-0.3835,0.0982,0.3094,-0.1318,-0.1318,,0.3794,-0.1305,,0.0218,-0.3934,0.2386,2.2198,41.213,,,-0.1096,0.0914,,0.2475,0.4955,0.0991,0.115,,0.1738,0.0258,,1.7373,0.0868,,,0.077,0.1597
20181231_环比,1.1759,,0.2277,0.1645,0.1559,,0.5905,,,-0.2945,,-0.172,0.1119,0.0877,-0.0429,-0.0429,,0.3244,-0.7485,,0.0174,-0.4673,0.018,3.146,-0.121,,,,0.1992,,1.3904,2.4368,,0.0398,,0.2589,-0.2078,,0.8075,-0.0695,-0.0118,,-0.1691,0.1767
20171231_累计,2921284014,15126581.09,889004246.9,5934620082,5045615836,,78987650.2,392274468.8,401425020.2,2372619444,,1368874509,13171977300,3076028672,349472598.6,349472598.6,,1746785350,112137198.2,,86625196.04,31624370.95,115451573.2,16688107.1,10017640.53,,,3478829882,6463872074,,117396832.8,212515999.8,229451085.4,233840592.5,,7878823124,1223420046,,9129284.87,113508364,,,1346057694,9224880818
20171231_同比,0.721,,0.7116,0.3858,0.3408,,-0.1571,0.533,0.5121,0.771,,-0.1811,0.4087,0.3336,,,,1.2726,-0.883,,-0.0087,1.1141,0.6569,1.6049,-0.9496,,,1.1565,0.5082,,1.6762,0.0738,7.2324,5.2037,,0.4907,2.8089,,3.1469,0.3446,,,2.3006,0.6204
20171231_环比,1.0816,,0.2141,-0.1963,-0.2415,,-0.4757,-0.3091,-0.302,0.2547,,0.1005,0.0414,0.1694,,,,0.0417,1.185,,-0.0145,0.5438,-0.02,4.0601,-0.9551,,,0.234,-0.0098,,2.0922,-0.1287,2.864,2.8251,,0.0373,0.7201,,-0.8332,0.4169,,,0.5909,0.0928
20161231_累计,1697451027,,519409333.6,4282442496,3763033162,,93713796.79,255880002.6,265476485.9,1339703932,,1671505734,9350293472,2306505675,,,,768628692.3,958082336.3,,87382760.39,14958646.66,69679373.63,6406470.58,198916124.2,,,1613215353,4285791988,,43867789.12,197915867.9,27871872.5,37694025.98,,5285313281,321200371.6,,2201446.81,84419442.3,,,407821260.7,5693134542
20161231_同比,1.4163,,1.0481,0.2958,0.2333,,0.1345,0.2337,0.2691,0.0137,,266.6849,0.6617,0.9949,,,,1.6904,4.8959,,0.0147,-0.2666,0.0367,,0.8615,,,0.4242,0.3975,,1.7819,1.3204,0.1539,0.3409,,0.3601,148.1997,,,0.4279,,,5.6556,0.4423
20161231_环比,-0.2694,,0.0736,0.1006,0.1044,,-0.6921,-0.1568,-0.1304,-0.0447,,1.411,0.0482,0.3838,,,,0.0513,0.7498,,0.011,-0.1157,0.0116,,-0.035,,,-0.0816,0.1965,,0.6219,1.0317,-0.5653,-0.4799,,0.1672,0.0646,,2.2402,0.1747,,,0.0897,0.1613
20151231_累计,702498119.4,,253606661,3304746762,3051140101,,82602545.52,207411509.3,209178176.3,1321652797,,6244303.49,5626922704,1156193876,,,,285687838.6,162498981.9,,86114475.58,20397153.65,67213831.41,,106857900.3,,,1132685277,3066850718,,15769156.3,85292970.82,24154096.02,28111149.01,,3886058506,2152822.11,,,59122354.26,,,61275176.37,3947333682
20151231_同比,-0.4045,,0.2231,0.4455,0.4677,,0.6782,1.1582,0.9738,0.6281,,,0.2694,1.5894,,,,0.0018,5.0764,,2.2521,2.6209,0.4701,,0.112,,,1.1552,0.4568,,436.7272,0.156,-0.3365,-0.2394,,0.5858,-0.1276,,,-0.011,,,-0.0156,0.5709
20151231_环比,0.0906,,-0.0496,0.2549,0.2892,,-0.409,-0.1917,-0.1851,0.209,,-0.85,0.1701,0.0829,,,,0.0263,2.7149,,0.9124,2.1979,0.283,,-0.5948,,,0.6037,0.3228,,704.5772,0.6563,-0.1746,-0.0902,,0.216,,,,0.0073,,,0.007,0.2121
20141231_累计,1179668696,,207352085,2286181772,2078829687,,49221405.42,96104932.95,105979169.6,811797074,,,4432848117,446502826.3,,,,285164415.4,26742680.55,,26479388.36,5633116.08,45719759.04,,96094600,,,525548461.9,2105173744,,36025.08,73783163.47,36402987.88,36961300.15,,2450590196,2467716,,,59781566.84,,,62249282.84,2512839479
20141231_同比,-0.0623,,-0.2681,0.6034,0.8195,,3.3108,1.6582,1.4268,0.0413,,,0.2598,0.1521,,,,0.0536,-0.071,,0.3124,0.6613,1.0097,,0.9219,,,0.0185,0.4589,,-0.5095,0.9966,1.0652,0.9239,,0.3709,,,,,,,-0.1152,0.3525
20141231_环比,0.4022,,0.6189,0.4617,0.4476,,-0.1445,0.2723,0.1158,0.0507,,,0.3309,0.0507,,,,0.0822,-0.3089,,0.0635,-0.5428,0.7179,,-0.0375,,,0.338,0.6959,,-0.4967,5.0236,-0.0627,-0.0619,,0.6132,,,,,,,-0.2275,0.5709
